                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.60122,                0.49006,                 1.0956,                0.85208,                0.84806,                0.90935,                0.72318,                0.84816,                 0.5957,                 1.2358,              0.0034007,              0.0034007,              0.0034007
                     35,                0.59839,                0.47998,                 1.0932,                0.88208,                0.83723,                0.91551,                0.73271,                0.84551,                0.59896,                 1.2405,              0.0032007,              0.0032007,              0.0032007
                     36,                0.59478,                0.47346,                 1.0923,                0.88901,                0.81635,                0.91699,                0.73566,                0.83365,                0.58291,                 1.2361,              0.0030007,              0.0030007,              0.0030007
                     37,                0.58942,                0.46621,                 1.0881,                0.86962,                 0.8585,                 0.9239,                0.73896,                0.82842,                0.56355,                 1.2305,              0.0028007,              0.0028007,              0.0028007
                     38,                0.58473,                0.46057,                 1.0855,                0.87321,                0.80831,                0.90743,                0.72916,                0.82086,                0.59487,                 1.2213,              0.0026007,              0.0026007,              0.0026007
                     39,                0.58058,                0.45676,                 1.0823,                0.84118,                0.83777,                0.91123,                0.72539,                0.83982,                0.60253,                 1.2354,              0.0024008,              0.0024008,              0.0024008
                     40,                0.49902,                0.28081,                 1.0943,                0.87982,                 0.8143,                0.90889,                0.73121,                0.81465,                0.61222,                 1.2146,              0.0022008,              0.0022008,              0.0022008
                     41,                0.48693,                0.26731,                 1.0849,                0.89135,                 0.8392,                0.91772,                 0.7439,                0.80618,                0.57817,                 1.2165,              0.0020008,              0.0020008,              0.0020008
                     42,                0.48121,                0.25825,                 1.0801,                0.88326,                0.84464,                  0.921,                0.75047,                0.80556,                0.59468,                 1.2156,              0.0018008,              0.0018008,              0.0018008
                     43,                0.47652,                0.25326,                 1.0767,                 0.9068,                 0.8191,                0.92002,                0.74817,                0.80355,                0.58989,                 1.2149,              0.0016008,              0.0016008,              0.0016008
                     44,                0.47088,                0.24784,                  1.072,                0.89242,                0.81858,                0.91685,                0.74625,                0.80552,                0.60244,                 1.2182,              0.0014009,              0.0014009,              0.0014009
                     45,                0.46947,                0.24245,                 1.0694,                0.90031,                0.83845,                0.92004,                0.74723,                0.80754,                0.57775,                 1.2198,              0.0012009,              0.0012009,              0.0012009
                     46,                0.46063,                0.23648,                 1.0653,                0.90329,                0.84027,                0.92164,                0.75173,                0.80179,                0.56729,                 1.2171,              0.0010009,              0.0010009,              0.0010009
                     47,                 0.4532,                0.23345,                 1.0597,                0.91089,                0.83644,                0.91925,                0.74591,                0.80492,                0.56561,                 1.2247,             0.00080092,             0.00080092,             0.00080092
                     48,                0.45299,                0.23102,                 1.0606,                0.90349,                0.84424,                 0.9188,                0.74341,                0.80427,                0.55838,                 1.2248,             0.00060094,             0.00060094,             0.00060094
                     49,                0.44833,                0.22603,                 1.0554,                0.89874,                0.84717,                0.92159,                0.74752,                0.80503,                0.55571,                 1.2266,             0.00040096,             0.00040096,             0.00040096
